Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
G1	ARR11	ARR11_2	3	330	267	0.619871	0.619871	1	1	AT4G34670;AT5G02960;AT5G56670;
G1	ARR11	ARR11_3ARY	8	551	267	0.165866	0.326152	1	1	AT1G02500;AT1G08830;AT1G78380;AT3G24830;AT4G34870;AT5G09510;AT5G38480;AT5G56670;
G1	ARR11	ARR14	39	2891	267	0.02014	0.153614	1	1	AT1G01720;AT1G02500;AT1G04270;AT1G08830;AT1G14320;AT1G15930;AT1G57720;AT1G65290;AT1G74060;AT1G78040;AT2G27720;AT2G36620;AT2G47110;AT3G05560;AT3G22230;AT3G46040;AT3G49010;AT3G49910;AT3G52590;AT3G53430;AT3G55440;AT3G62290;AT4G02230;AT4G15910;AT4G16720;AT4G31985;AT4G34670;AT4G34870;AT4G38920;AT5G02450;AT5G03240;AT5G03850;AT5G05410;AT5G08670;AT5G09510;AT5G09810;AT5G38480;AT5G45775;AT5G56670;
G1	ARR11	ARR14_2	3	160	267	0.201555	0.326152	1	1	AT3G49010;AT4G34670;AT5G56670;
G1	ARR11	ARR14_3ARY	9	429	267	0.0242506	0.163473	1	1	AT1G02500;AT1G65290;AT1G78380;AT3G05560;AT3G24830;AT4G38920;AT5G09510;AT5G09810;AT5G38480;
G1	ARR11	AT1G77200	15	974	267	0.0519145	0.253524	1	1	AT1G01720;AT1G04270;AT1G14320;AT1G74060;AT1G78040;AT2G31390;AT3G46040;AT3G55440;AT3G62290;AT4G15910;AT4G29410;AT4G34870;AT5G02450;AT5G56030;AT5G56670;
G1	ARR11	AT5G28300	11	1001	267	0.374023	0.374023	1	1	AT1G15930;AT1G17190;AT1G69620;AT2G31390;AT3G22230;AT3G60245;AT4G02230;AT4G29410;AT4G34870;AT5G02960;AT5G56670;
G1	ARR11	ATERF1	15	1039	267	0.0800916	0.298571	1	1	AT1G14320;AT1G57720;AT1G74060;AT1G78040;AT2G27720;AT3G09840;AT3G46040;AT3G49910;AT3G60245;AT3G62290;AT4G15910;AT5G02450;AT5G02960;AT5G08670;AT5G56670;
G1	ARR11	ATERF1_2	11	1047	267	0.430817	0.430817	1	1	AT1G08360;AT1G15930;AT1G74060;AT2G27720;AT3G46040;AT3G49910;AT3G60245;AT4G15910;AT4G29410;AT5G02960;AT5G56670;
G1	ARR11	CCA1	13	917	267	0.109079	0.320427	1	1	AT1G04480;AT1G08830;AT1G17190;AT1G78040;AT1G78380;AT2G01250;AT3G22230;AT3G52590;AT5G03240;AT5G05410;AT5G09510;AT5G47930;AT5G56670;
G1	ARR11	CCA1_2	20	2323	267	0.736096	0.736096	1	1	AT1G01720;AT1G02500;AT1G14320;AT1G17190;AT1G57720;AT1G65290;AT1G69620;AT3G23830;AT3G49010;AT3G55440;AT4G02230;AT4G15910;AT4G29410;AT4G31985;AT4G38920;AT5G02450;AT5G27850;AT5G38480;AT5G56030;AT5G56670;
G1	ARR11	DDF1	8	957	267	0.708974	0.708974	1	1	AT1G04270;AT1G78040;AT4G29410;AT4G34870;AT5G02450;AT5G08670;AT5G09510;AT5G56030;
G1	ARR11	DREB2C	15	1012	267	0.0673854	0.269542	1	1	AT1G01720;AT1G14320;AT1G15930;AT1G57720;AT1G74060;AT2G47110;AT3G05560;AT3G09840;AT3G46040;AT3G53430;AT3G62290;AT4G15910;AT5G02960;AT5G08670;AT5G56670;
G1	ARR11	DREB2C_2	15	1005	267	0.0643267	0.257307	1	1	AT1G01720;AT1G04270;AT1G14320;AT1G74060;AT1G78040;AT2G31390;AT3G09840;AT3G46040;AT3G55440;AT4G15910;AT4G29410;AT4G34870;AT5G02450;AT5G03240;AT5G56670;
G1	ARR11	GLK1	13	1040	267	0.207772	0.326152	1	1	AT1G01720;AT1G14320;AT1G17190;AT1G65290;AT1G78380;AT2G47110;AT3G49010;AT3G52590;AT3G53430;AT4G38920;AT5G03850;AT5G38480;AT5G47930;
G1	ARR11	GLK1_2	6	302	267	0.0736097	0.294439	1	1	AT1G01720;AT1G02500;AT1G65290;AT2G32060;AT5G02450;AT5G03240;
G1	ARR11	KAN1	5	927	267	0.947006	0.947006	1	1	AT1G14320;AT1G17190;AT2G01250;AT3G52590;AT4G29410;
G1	ARR11	KAN4	12	975	267	0.234961	0.326152	1	1	AT1G17190;AT1G57720;AT2G01250;AT2G32060;AT3G23830;AT3G53430;AT3G55440;AT4G16720;AT4G29410;AT4G34870;AT5G02450;AT5G02960;
G1	ARR11	KAN4_2	4	820	267	0.958064	0.958064	1	1	AT1G04270;AT1G15930;AT4G34870;AT5G02960;
G1	ARR11	MYB111	4	867	267	0.969541	0.969541	1	1	AT1G02500;AT3G05560;AT3G23830;AT3G60245;
G1	ARR11	MYB111_2	9	869	267	0.462812	0.462812	1	1	AT1G01720;AT1G02500;AT1G04270;AT1G57720;AT1G74060;AT2G01250;AT3G05560;AT3G23830;AT3G60245;
G1	ARR11	MYB46	7	901	267	0.770187	0.770187	1	1	AT1G01720;AT1G02500;AT1G57720;AT1G74060;AT3G05560;AT3G60245;AT4G15910;
G1	ARR11	MYB46_2	10	915	267	0.390222	0.390222	1	1	AT1G01720;AT1G02500;AT1G74060;AT2G01250;AT2G31390;AT3G05560;AT3G55440;AT3G60245;AT4G16720;AT5G56670;
G1	ARR11	MYB52	11	1016	267	0.392491	0.392491	1	1	AT1G14320;AT1G74060;AT1G78040;AT2G31390;AT3G46040;AT3G49010;AT5G02960;AT5G03850;AT5G05410;AT5G09810;AT5G56670;
G1	ARR11	MYB52_2	4	865	267	0.969119	0.969119	1	1	AT1G04270;AT3G60245;AT5G03850;AT5G56030;
G1	ARR11	MYB55	10	925	267	0.403208	0.403208	1	1	AT1G01720;AT1G02500;AT1G14320;AT1G57720;AT1G74060;AT2G47110;AT3G05560;AT3G09840;AT3G60245;AT4G15910;
G1	ARR11	MYB55_2	8	887	267	0.626834	0.626834	1	1	AT1G01720;AT1G02500;AT1G04270;AT1G74060;AT2G31390;AT3G55440;AT3G60245;AT5G56670;
G1	ARR11	MYB59	10	897	267	0.366931	0.366931	1	1	AT1G14320;AT1G57720;AT1G74060;AT2G01250;AT2G47110;AT3G23830;AT3G46040;AT5G02450;AT5G03240;AT5G05410;
G1	ARR11	RAP2.3	16	1067	267	0.055447	0.253524	1	1	AT1G14320;AT1G15930;AT1G57720;AT1G74060;AT2G27720;AT2G47110;AT3G46040;AT3G60245;AT3G62290;AT4G15910;AT4G29410;AT5G02450;AT5G02960;AT5G08670;AT5G47930;AT5G56670;
G1	ARR11	RAP2.3_2	15	1065	267	0.093715	0.298571	1	1	AT1G08360;AT1G15930;AT1G57720;AT1G74060;AT1G78040;AT2G27720;AT3G46040;AT3G60245;AT4G15910;AT4G29410;AT5G02450;AT5G02960;AT5G08670;AT5G47930;AT5G56670;
G1	ARR11	RAP2.3_3ARY	18	1033	267	0.0119331	0.119331	1	1	AT1G04270;AT1G04480;AT1G14320;AT1G15930;AT1G57720;AT1G74060;AT1G78040;AT2G27720;AT3G09840;AT3G46040;AT3G60245;AT4G15910;AT4G29410;AT5G02450;AT5G02960;AT5G08670;AT5G47930;AT5G56670;
G1	ARR11	RAP2.6	16	1051	267	0.0497107	0.248554	1	1	AT1G14320;AT1G15930;AT1G74060;AT1G78040;AT2G27720;AT2G47110;AT3G05560;AT3G46040;AT3G53430;AT3G60245;AT4G15910;AT5G02450;AT5G02960;AT5G08670;AT5G47930;AT5G56670;
G1	ARR11	RAP2.6_2	13	1029	267	0.197631	0.326152	1	1	AT1G08360;AT1G14320;AT1G74060;AT3G46040;AT3G49010;AT4G15910;AT4G29410;AT4G34870;AT5G02450;AT5G02960;AT5G08670;AT5G47930;AT5G56670;
G1	ARR11	RAP2.6_3ARY	15	1014	267	0.0682769	0.273108	1	1	AT1G04270;AT1G08360;AT1G74060;AT1G78040;AT2G27720;AT2G36620;AT3G46040;AT4G15910;AT4G29410;AT4G34870;AT5G02450;AT5G08670;AT5G09810;AT5G47930;AT5G56670;
G1	ARR11	RRTF1	17	1045	267	0.0258592	0.163473	1	1	AT1G14320;AT1G15930;AT1G74060;AT2G27720;AT2G47110;AT3G05560;AT3G46040;AT3G53430;AT3G60245;AT4G15910;AT4G29410;AT5G02450;AT5G02960;AT5G08670;AT5G09510;AT5G47930;AT5G56670;
G1	ARR11	RRTF1_2	14	1090	267	0.171386	0.326152	1	1	AT1G15930;AT1G74060;AT2G27720;AT2G47110;AT3G46040;AT3G60245;AT3G62290;AT4G15910;AT4G29410;AT5G02450;AT5G02960;AT5G08670;AT5G47930;AT5G56670;
G1	ARR11	RRTF1_3ARY	15	1064	267	0.0931656	0.298571	1	1	AT1G15930;AT1G57720;AT1G74060;AT2G27720;AT2G47110;AT3G46040;AT3G60245;AT3G62290;AT4G15910;AT4G29410;AT5G02450;AT5G02960;AT5G08670;AT5G47930;AT5G56670;
G1	ARR11	RVE1	13	917	267	0.109079	0.320427	1	1	AT1G04480;AT1G08830;AT1G17190;AT1G78380;AT2G01250;AT3G22230;AT3G24830;AT3G52590;AT5G03240;AT5G05410;AT5G09510;AT5G47930;AT5G56670;
G1	ARR11	RVE1_2	2	198	267	0.571716	0.571716	1	1	AT3G52590;AT5G05410;
G1	ARR11_2	ARR11_3ARY	12	780	267	0.0771148	0.298571	1	1	AT1G17190;AT1G50010;AT3G53740;AT3G56020;AT4G14960;AT4G23630;AT4G34870;AT5G09510;AT5G55190;AT5G56030;AT5G56670;AT5G62300;
G1	ARR11_2	ARR14	28	2025	267	0.0353107	0.20916	1	1	AT1G01720;AT1G04270;AT1G15930;AT1G50010;AT1G74060;AT1G75950;AT2G37190;AT3G02080;AT3G09500;AT3G17390;AT3G52590;AT3G53430;AT3G55440;AT3G59540;AT3G62290;AT4G00100;AT4G01850;AT4G02230;AT4G14320;AT4G27090;AT4G34670;AT4G34870;AT4G40040;AT5G03850;AT5G09510;AT5G27770;AT5G55190;AT5G56670;
G1	ARR11_2	ARR14_2	1	11	267	0.101238	0.303713	1	1	AT5G55190;
G1	ARR11_2	ARR14_3ARY	8	566	267	0.183278	0.326152	1	1	AT1G50010;AT1G65980;AT3G56020;AT4G14960;AT4G23630;AT5G09510;AT5G56030;AT5G62300;
G1	ARR11_2	AT1G77200	17	1372	267	0.176294	0.326152	1	1	AT1G01720;AT1G04270;AT1G04410;AT1G74060;AT3G17390;AT3G53020;AT3G53740;AT3G55440;AT3G56020;AT3G59540;AT3G62290;AT4G14320;AT4G14960;AT4G23630;AT4G34870;AT5G56030;AT5G56670;
G1	ARR11_2	AT5G28300	11	1180	267	0.590304	0.590304	1	1	AT1G04410;AT1G15930;AT1G17190;AT3G53020;AT3G56020;AT3G56340;AT4G02230;AT4G34870;AT5G02870;AT5G02960;AT5G56670;
G1	ARR11_2	ATERF1	17	1553	267	0.331905	0.331905	1	1	AT1G04410;AT1G50010;AT1G74060;AT2G20490;AT2G43460;AT3G02080;AT3G09500;AT3G53020;AT3G56020;AT3G59540;AT3G62290;AT4G23630;AT4G27090;AT4G40040;AT5G02960;AT5G55190;AT5G56670;
G1	ARR11_2	ATERF1_2	16	1483	267	0.360087	0.360087	1	1	AT1G04410;AT1G15930;AT1G74060;AT2G14890;AT2G20490;AT3G02080;AT3G09500;AT3G53020;AT3G56020;AT4G14320;AT4G23630;AT4G27090;AT4G40040;AT5G02960;AT5G55190;AT5G56670;
G1	ARR11_2	CCA1	7	779	267	0.628672	0.628672	1	1	AT1G17190;AT1G65980;AT2G14890;AT3G52590;AT5G09510;AT5G56670;AT5G62300;
G1	ARR11_2	CCA1_2	13	1152	267	0.322137	0.326152	1	1	AT1G01720;AT1G17190;AT1G50010;AT2G27710;AT2G43460;AT3G06700;AT3G55440;AT4G02230;AT4G27090;AT4G40040;AT5G56030;AT5G56670;AT5G62300;
G1	ARR11_2	DDF1	12	1133	267	0.413188	0.413188	1	1	AT1G04270;AT2G14890;AT3G05590;AT3G17390;AT3G53020;AT3G56020;AT3G56340;AT4G14960;AT4G34870;AT5G09510;AT5G56030;AT5G60390;
G1	ARR11_2	DREB2C	21	1510	267	0.0602314	0.253524	1	1	AT1G01720;AT1G04410;AT1G15930;AT1G50010;AT1G74060;AT2G37600;AT2G43460;AT3G02080;AT3G09500;AT3G17390;AT3G53020;AT3G53430;AT3G56020;AT3G56340;AT3G62290;AT4G14320;AT4G27090;AT4G40040;AT5G02960;AT5G55190;AT5G56670;
G1	ARR11_2	DREB2C_2	17	1441	267	0.230801	0.326152	1	1	AT1G01720;AT1G04270;AT1G04410;AT1G74060;AT1G75950;AT2G14890;AT3G02080;AT3G05590;AT3G17390;AT3G53020;AT3G55440;AT3G56020;AT3G59540;AT4G14320;AT4G14960;AT4G34870;AT5G56670;
G1	ARR11_2	GLK1	11	1249	267	0.664883	0.664883	1	1	AT1G01720;AT1G17190;AT2G43460;AT3G02080;AT3G06700;AT3G52590;AT3G53430;AT3G53740;AT4G00100;AT5G03850;AT5G27770;
G1	ARR11_2	GLK1_2	10	592	267	0.0627066	0.253524	1	1	AT1G01720;AT1G04410;AT1G65980;AT2G20490;AT4G00100;AT4G01850;AT4G27090;AT4G34870;AT5G27770;AT5G60390;
G1	ARR11_2	KAN1	11	829	267	0.180461	0.326152	1	1	AT1G04410;AT1G17190;AT2G14890;AT2G37600;AT3G06700;AT3G52590;AT3G53020;AT3G53740;AT3G56340;AT4G23630;AT5G55190;
G1	ARR11_2	KAN4	15	917	267	0.0336451	0.201871	1	1	AT1G04410;AT1G17190;AT2G16600;AT2G32060;AT2G37190;AT3G53430;AT3G55440;AT3G56340;AT4G01850;AT4G23630;AT4G34870;AT5G02960;AT5G27770;AT5G55190;AT5G62300;
G1	ARR11_2	KAN4_2	11	832	267	0.183366	0.326152	1	1	AT1G04270;AT1G04410;AT1G15930;AT2G16600;AT3G53740;AT4G01850;AT4G23630;AT4G34870;AT5G02960;AT5G55190;AT5G62300;
G1	ARR11_2	MYB111	5	897	267	0.936403	0.936403	1	1	AT3G05590;AT4G01850;AT4G14960;AT5G02870;AT5G60390;
G1	ARR11_2	MYB111_2	8	954	267	0.705707	0.705707	1	1	AT1G01720;AT1G04270;AT1G65980;AT1G74060;AT3G17390;AT4G01850;AT4G14960;AT5G60390;
G1	ARR11_2	MYB46	7	954	267	0.817803	0.817803	1	1	AT1G01720;AT1G74060;AT3G05590;AT4G01850;AT4G14960;AT5G02870;AT5G60390;
G1	ARR11_2	MYB46_2	9	1168	267	0.798748	0.798748	1	1	AT1G01720;AT1G74060;AT3G17390;AT3G53020;AT3G55440;AT4G00100;AT5G56670;AT5G60390;AT5G62300;
G1	ARR11_2	MYB52	14	1338	267	0.417615	0.417615	1	1	AT1G04410;AT1G74060;AT2G37600;AT3G02080;AT3G09500;AT3G53020;AT3G53740;AT4G14320;AT4G27090;AT4G40040;AT5G02870;AT5G02960;AT5G03850;AT5G60390;
G1	ARR11_2	MYB52_2	5	856	267	0.918868	0.918868	1	1	AT1G04270;AT2G14890;AT4G01850;AT5G03850;AT5G56030;
G1	ARR11_2	MYB55	11	1170	267	0.578907	0.578907	1	1	AT1G01720;AT1G74060;AT1G75950;AT2G20490;AT3G53020;AT4G00100;AT4G01850;AT4G14320;AT4G14960;AT5G02870;AT5G60390;
G1	ARR11_2	MYB55_2	10	1099	267	0.620465	0.620465	1	1	AT1G01720;AT1G04270;AT1G74060;AT3G17390;AT3G53020;AT3G55440;AT4G00100;AT5G56670;AT5G60390;AT5G62300;
G1	ARR11_2	MYB59	8	1000	267	0.753191	0.753191	1	1	AT1G04410;AT1G74060;AT1G75950;AT4G01850;AT4G14320;AT4G27090;AT5G02870;AT5G27770;
G1	ARR11_2	RAP2.3	19	1567	267	0.182575	0.326152	1	1	AT1G04410;AT1G15930;AT1G74060;AT2G20490;AT2G43460;AT3G02080;AT3G09500;AT3G53020;AT3G56020;AT3G56340;AT3G59540;AT3G62290;AT4G14320;AT4G23630;AT4G27090;AT4G40040;AT5G02960;AT5G55190;AT5G56670;
G1	ARR11_2	RAP2.3_2	16	1525	267	0.402587	0.402587	1	1	AT1G04410;AT1G15930;AT1G74060;AT2G14890;AT2G20490;AT2G43460;AT3G02080;AT3G53020;AT3G56020;AT3G59540;AT4G23630;AT4G27090;AT4G40040;AT5G02960;AT5G55190;AT5G56670;
G1	ARR11_2	RAP2.3_3ARY	18	1462	267	0.174281	0.326152	1	1	AT1G04270;AT1G04410;AT1G15930;AT1G74060;AT2G14890;AT2G43460;AT3G02080;AT3G05590;AT3G53020;AT3G56020;AT3G59540;AT4G14960;AT4G23630;AT4G27090;AT4G40040;AT5G02960;AT5G55190;AT5G56670;
G1	ARR11_2	RAP2.6	18	1577	267	0.265104	0.326152	1	1	AT1G04410;AT1G15930;AT1G74060;AT2G14890;AT2G43460;AT3G02080;AT3G53020;AT3G53430;AT3G56020;AT3G56340;AT3G59540;AT4G14320;AT4G23630;AT4G27090;AT4G40040;AT5G02960;AT5G55190;AT5G56670;
G1	ARR11_2	RAP2.6_2	12	1400	267	0.704315	0.704315	1	1	AT1G04410;AT1G74060;AT3G02080;AT3G53020;AT3G56020;AT4G14320;AT4G34870;AT4G40040;AT5G02960;AT5G55190;AT5G56670;AT5G60390;
G1	ARR11_2	RAP2.6_3ARY	15	1459	267	0.438937	0.438937	1	1	AT1G04270;AT1G04410;AT1G74060;AT2G14890;AT3G02080;AT3G05590;AT3G53020;AT3G56020;AT4G14320;AT4G14960;AT4G23630;AT4G34870;AT4G40040;AT5G56670;AT5G60390;
G1	ARR11_2	RRTF1	19	1570	267	0.184697	0.326152	1	1	AT1G04410;AT1G15930;AT1G74060;AT2G43460;AT3G02080;AT3G53020;AT3G53430;AT3G56020;AT3G56340;AT3G59540;AT4G14320;AT4G23630;AT4G27090;AT4G40040;AT5G02960;AT5G09510;AT5G55190;AT5G56670;AT5G62300;
G1	ARR11_2	RRTF1_2	18	1552	267	0.243921	0.326152	1	1	AT1G04410;AT1G15930;AT1G74060;AT2G14890;AT2G20490;AT3G02080;AT3G53020;AT3G56020;AT3G56340;AT3G59540;AT3G62290;AT4G14960;AT4G23630;AT4G27090;AT4G40040;AT5G02960;AT5G55190;AT5G56670;
G1	ARR11_2	RRTF1_3ARY	18	1538	267	0.232378	0.326152	1	1	AT1G04410;AT1G15930;AT1G74060;AT2G14890;AT2G20490;AT2G43460;AT3G02080;AT3G53020;AT3G56020;AT3G59540;AT3G62290;AT4G14960;AT4G23630;AT4G27090;AT4G40040;AT5G02960;AT5G55190;AT5G56670;
G1	ARR11_2	RVE1	10	807	267	0.254931	0.326152	1	1	AT1G17190;AT1G65980;AT2G14890;AT3G17390;AT3G24830;AT3G52590;AT4G27090;AT5G09510;AT5G56670;AT5G62300;
G1	ARR11_2	RVE1_2	2	414	267	0.910908	0.910908	1	1	AT5G55190;AT5G60390;
G1	ARR11_3ARY	ARR14	17	1065	267	0.0302132	0.181279	1	1	AT1G02500;AT1G08830;AT1G14320;AT1G50010;AT3G17390;AT3G53430;AT3G62290;AT4G02450;AT4G15910;AT4G34870;AT4G38920;AT5G03240;AT5G09510;AT5G09810;AT5G38480;AT5G55190;AT5G56670;
G1	ARR11_3ARY	ARR14_2	7	361	267	0.0619782	0.253524	1	1	AT1G17190;AT3G11940;AT3G53740;AT4G23630;AT4G34870;AT5G09510;AT5G17920;
G1	ARR11_3ARY	ARR14_3ARY	0	2	267	1	1	1	1	
G1	ARR11_3ARY	AT1G77200	12	878	267	0.144849	0.320427	1	1	AT1G14320;AT3G17390;AT3G53740;AT3G56020;AT3G62290;AT4G14960;AT4G15910;AT4G23630;AT4G29410;AT4G34870;AT5G56030;AT5G56670;
G1	ARR11_3ARY	AT5G28300	11	862	267	0.213587	0.326152	1	1	AT1G07770;AT1G17190;AT3G47370;AT3G56020;AT4G02450;AT4G29410;AT4G34870;AT5G22650;AT5G47700;AT5G56670;AT5G56710;
G1	ARR11_3ARY	ATERF1	10	908	267	0.381148	0.381148	1	1	AT1G14320;AT1G50010;AT3G56020;AT3G62290;AT4G15910;AT4G23630;AT5G44340;AT5G55190;AT5G56670;AT5G59850;
G1	ARR11_3ARY	ATERF1_2	8	938	267	0.68789	0.68789	1	1	AT1G08360;AT3G56020;AT4G15910;AT4G23630;AT4G29410;AT4G39200;AT5G55190;AT5G56670;
G1	ARR11_3ARY	CCA1	17	1597	267	0.374483	0.374483	1	1	AT1G08830;AT1G17190;AT1G78380;AT2G21580;AT2G21660;AT2G25210;AT2G41430;AT4G10480;AT4G21830;AT4G31290;AT4G39090;AT5G02500;AT5G03240;AT5G09510;AT5G17920;AT5G56670;AT5G62300;
G1	ARR11_3ARY	CCA1_2	13	1130	267	0.298357	0.326152	1	1	AT1G02500;AT1G14320;AT1G17190;AT1G50010;AT3G11940;AT4G15910;AT4G29410;AT4G38920;AT5G27850;AT5G38480;AT5G56030;AT5G56670;AT5G62300;
G1	ARR11_3ARY	DDF1	9	884	267	0.483196	0.483196	1	1	AT1G23490;AT3G17390;AT3G56020;AT4G14960;AT4G29410;AT4G34870;AT5G09510;AT5G20020;AT5G56030;
G1	ARR11_3ARY	DREB2C	13	936	267	0.122082	0.320427	1	1	AT1G14320;AT1G50010;AT2G27530;AT3G17390;AT3G53430;AT3G56020;AT3G62290;AT4G15910;AT5G20020;AT5G55190;AT5G56670;AT5G59850;AT5G64140;
G1	ARR11_3ARY	DREB2C_2	11	905	267	0.260206	0.326152	1	1	AT1G14320;AT3G04920;AT3G17390;AT3G56020;AT4G14960;AT4G15910;AT4G29410;AT4G34870;AT4G39200;AT5G03240;AT5G56670;
G1	ARR11_3ARY	GLK1	13	1196	267	0.370928	0.370928	1	1	AT1G14320;AT1G17190;AT1G67430;AT1G78380;AT3G53430;AT3G53740;AT4G02450;AT4G38920;AT4G39200;AT5G38480;AT5G52650;AT5G56710;AT5G59850;
G1	ARR11_3ARY	GLK1_2	6	755	267	0.739708	0.739708	1	1	AT1G02500;AT3G53430;AT4G02450;AT4G34870;AT5G03240;AT5G59850;
G1	ARR11_3ARY	KAN1	10	1002	267	0.502683	0.502683	1	1	AT1G14320;AT1G17190;AT3G53740;AT4G02450;AT4G10480;AT4G23630;AT4G29410;AT5G44340;AT5G55190;AT5G56710;
G1	ARR11_3ARY	KAN4	13	938	267	0.123501	0.320427	1	1	AT1G17190;AT1G23490;AT3G53430;AT4G02450;AT4G21830;AT4G23630;AT4G29410;AT4G34870;AT5G02500;AT5G22650;AT5G44340;AT5G55190;AT5G62300;
G1	ARR11_3ARY	KAN4_2	10	894	267	0.363064	0.363064	1	1	AT3G11940;AT3G53740;AT4G23630;AT4G34870;AT5G02500;AT5G22650;AT5G44340;AT5G47700;AT5G55190;AT5G62300;
G1	ARR11_3ARY	MYB111	10	846	267	0.302212	0.326152	1	1	AT1G02500;AT2G25210;AT2G41430;AT4G02450;AT4G14960;AT4G39090;AT5G02500;AT5G17920;AT5G47700;AT5G64140;
G1	ARR11_3ARY	MYB111_2	10	855	267	0.31344	0.326152	1	1	AT1G02500;AT2G25210;AT2G41430;AT3G07110;AT3G17390;AT4G14960;AT4G39090;AT5G17920;AT5G52650;AT5G64140;
G1	ARR11_3ARY	MYB46	12	847	267	0.120712	0.320427	1	1	AT1G02500;AT2G25210;AT2G41430;AT4G14960;AT4G15910;AT4G39090;AT5G02500;AT5G17920;AT5G47700;AT5G52650;AT5G59850;AT5G64140;
G1	ARR11_3ARY	MYB46_2	8	840	267	0.565368	0.565368	1	1	AT1G02500;AT2G41430;AT3G17390;AT4G39090;AT5G02500;AT5G52650;AT5G56670;AT5G62300;
G1	ARR11_3ARY	MYB52	8	887	267	0.626834	0.626834	1	1	AT1G14320;AT3G04920;AT3G53740;AT4G02450;AT4G10480;AT5G09810;AT5G20020;AT5G56670;
G1	ARR11_3ARY	MYB52_2	10	813	267	0.262039	0.326152	1	1	AT2G25210;AT2G27530;AT4G10480;AT4G26230;AT4G39090;AT5G02500;AT5G44340;AT5G52650;AT5G56030;AT5G56710;
G1	ARR11_3ARY	MYB55	9	844	267	0.428571	0.428571	1	1	AT1G02500;AT1G14320;AT2G25210;AT4G14960;AT4G15910;AT4G26230;AT4G39090;AT5G17920;AT5G22650;
G1	ARR11_3ARY	MYB55_2	8	876	267	0.612863	0.612863	1	1	AT1G02500;AT2G41430;AT3G17390;AT4G39090;AT5G17920;AT5G52650;AT5G56670;AT5G62300;
G1	ARR11_3ARY	MYB59	9	879	267	0.476419	0.476419	1	1	AT1G14320;AT1G30230;AT2G25210;AT2G41430;AT5G02500;AT5G03240;AT5G20020;AT5G47700;AT5G65020;
G1	ARR11_3ARY	RAP2.3	12	912	267	0.174056	0.326152	1	1	AT1G14320;AT3G56020;AT3G62290;AT4G15910;AT4G23630;AT4G26230;AT4G29410;AT5G55190;AT5G56670;AT5G56710;AT5G59850;AT5G64140;
G1	ARR11_3ARY	RAP2.3_2	10	921	267	0.39801	0.39801	1	1	AT1G08360;AT3G56020;AT4G15910;AT4G23630;AT4G29410;AT5G02500;AT5G55190;AT5G56670;AT5G59850;AT5G64140;
G1	ARR11_3ARY	RAP2.3_3ARY	13	890	267	0.0920927	0.298571	1	1	AT1G14320;AT3G07110;AT3G56020;AT4G14960;AT4G15910;AT4G23630;AT4G26230;AT4G29410;AT5G23740;AT5G55190;AT5G56670;AT5G59850;AT5G64140;
G1	ARR11_3ARY	RAP2.6	12	924	267	0.18501	0.326152	1	1	AT1G14320;AT3G53430;AT3G56020;AT4G15910;AT4G23630;AT4G26230;AT5G23740;AT5G44340;AT5G55190;AT5G56670;AT5G59850;AT5G64140;
G1	ARR11_3ARY	RAP2.6_2	15	901	267	0.0294932	0.176959	1	1	AT1G08360;AT1G14320;AT2G21660;AT2G27530;AT3G07110;AT3G56020;AT4G15910;AT4G29410;AT4G34870;AT5G02500;AT5G44340;AT5G55190;AT5G56670;AT5G59850;AT5G64140;
G1	ARR11_3ARY	RAP2.6_3ARY	10	865	267	0.326028	0.326152	1	1	AT1G08360;AT3G56020;AT4G14960;AT4G15910;AT4G23630;AT4G29410;AT4G34870;AT5G09810;AT5G56670;AT5G59850;
G1	ARR11_3ARY	RRTF1	16	922	267	0.0178487	0.14279	1	1	AT1G14320;AT3G07110;AT3G53430;AT3G56020;AT4G15910;AT4G23630;AT4G26230;AT4G29410;AT5G09510;AT5G23740;AT5G44340;AT5G55190;AT5G56670;AT5G59850;AT5G62300;AT5G64140;
G1	ARR11_3ARY	RRTF1_2	12	912	267	0.174056	0.326152	1	1	AT3G07110;AT3G56020;AT3G62290;AT4G14960;AT4G15910;AT4G23630;AT4G26230;AT4G29410;AT4G31290;AT5G55190;AT5G56670;AT5G59850;
G1	ARR11_3ARY	RRTF1_3ARY	12	893	267	0.157392	0.320427	1	1	AT3G56020;AT3G62290;AT4G14960;AT4G15910;AT4G23630;AT4G26230;AT4G29410;AT4G31290;AT4G39200;AT5G55190;AT5G56670;AT5G59850;
G1	ARR11_3ARY	RVE1	19	1800	267	0.377462	0.377462	1	1	AT1G08830;AT1G17190;AT1G78380;AT2G21580;AT2G21660;AT2G41430;AT3G17390;AT3G24830;AT4G10480;AT4G21830;AT4G31290;AT4G39090;AT5G02500;AT5G03240;AT5G09510;AT5G17920;AT5G44340;AT5G56670;AT5G62300;
G1	ARR11_3ARY	RVE1_2	1	270	267	0.928088	0.928088	1	1	AT5G55190;
