Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
G1	KAN4	RAP2.3	16	849	267	0.0087508	0.0943831	1	1	AT1G04410;AT1G14980;AT1G27400;AT1G57720;AT1G77940;AT2G31610;AT3G56340;AT3G62420;AT4G23630;AT4G29410;AT5G02450;AT5G02960;AT5G07090;AT5G14800;AT5G47210;AT5G55190;
G1	KAN4	RAP2.3_2	16	830	267	0.00713478	0.0784826	1	1	AT1G04410;AT1G07920;AT1G27400;AT1G57720;AT1G77940;AT2G31610;AT3G62420;AT4G23630;AT4G29410;AT5G02450;AT5G02500;AT5G02960;AT5G07090;AT5G14800;AT5G47210;AT5G55190;
G1	KAN4	RAP2.3_3ARY	13	812	267	0.0527797	0.253524	1	1	AT1G04410;AT1G07920;AT1G27400;AT1G57720;AT1G77940;AT3G62420;AT4G23630;AT4G29410;AT5G02450;AT5G02960;AT5G07090;AT5G14800;AT5G55190;
G1	KAN4	RAP2.6	16	854	267	0.00922135	0.0943831	1	1	AT1G04410;AT1G14980;AT1G27400;AT1G77940;AT2G31610;AT3G53430;AT3G56340;AT3G62420;AT4G23630;AT5G02450;AT5G02960;AT5G07090;AT5G14800;AT5G44340;AT5G47210;AT5G55190;
G1	KAN4	RAP2.6_2	15	815	267	0.0133486	0.120367	1	1	AT1G04410;AT1G07920;AT1G27400;AT3G62420;AT4G29410;AT4G31700;AT4G34870;AT5G02450;AT5G02500;AT5G02960;AT5G07090;AT5G14800;AT5G44340;AT5G46430;AT5G55190;
G1	KAN4	RAP2.6_3ARY	10	786	267	0.230603	0.326152	1	1	AT1G04410;AT1G56045;AT1G77940;AT2G31610;AT4G23630;AT4G29410;AT4G34870;AT5G02450;AT5G07090;AT5G14800;
G1	KAN4	RRTF1	18	851	267	0.00166865	0.0333731	0.445531	1	AT1G04410;AT1G14980;AT1G27400;AT1G77940;AT2G31610;AT3G53430;AT3G56340;AT3G62420;AT4G23630;AT4G29410;AT5G02450;AT5G02960;AT5G07090;AT5G14800;AT5G44340;AT5G47210;AT5G55190;AT5G62300;
G1	KAN4	RRTF1_2	14	835	267	0.0330338	0.198203	1	1	AT1G04410;AT1G07920;AT1G27400;AT1G56045;AT3G56340;AT3G62420;AT4G23630;AT4G29410;AT5G02450;AT5G02960;AT5G07090;AT5G46430;AT5G47210;AT5G55190;
G1	KAN4	RRTF1_3ARY	13	830	267	0.0605931	0.253524	1	1	AT1G04410;AT1G07920;AT1G27400;AT1G56045;AT1G57720;AT1G77940;AT3G62420;AT4G23630;AT4G29410;AT5G02450;AT5G02960;AT5G07090;AT5G55190;
G1	KAN4	RVE1	7	830	267	0.693181	0.693181	1	1	AT1G17190;AT2G01250;AT4G21830;AT5G02500;AT5G07090;AT5G44340;AT5G62300;
G1	KAN4	RVE1_2	6	942	267	0.895167	0.895167	1	1	AT2G01250;AT3G23830;AT3G62420;AT5G35530;AT5G55190;AT5G62700;
G1	KAN4_2	MYB111	10	903	267	0.374679	0.374679	1	1	AT1G13440;AT1G65930;AT2G30870;AT2G37270;AT4G01850;AT5G02500;AT5G18380;AT5G42980;AT5G47210;AT5G47700;
G1	KAN4_2	MYB111_2	8	837	267	0.561297	0.561297	1	1	AT1G04270;AT1G13440;AT1G65930;AT2G30870;AT4G01850;AT5G18380;AT5G42980;AT5G47210;
G1	KAN4_2	MYB46	9	893	267	0.495343	0.495343	1	1	AT1G13440;AT1G65930;AT3G53890;AT4G01850;AT5G02500;AT5G18380;AT5G42980;AT5G47210;AT5G47700;
G1	KAN4_2	MYB46_2	5	784	267	0.877711	0.877711	1	1	AT3G45030;AT5G02500;AT5G18380;AT5G47210;AT5G62300;
G1	KAN4_2	MYB52	7	817	267	0.677444	0.677444	1	1	AT1G04410;AT3G53740;AT5G02960;AT5G07090;AT5G15230;AT5G18380;AT5G53300;
G1	KAN4_2	MYB52_2	9	847	267	0.432691	0.432691	1	1	AT1G04270;AT1G07940;AT2G39390;AT4G01850;AT5G02500;AT5G15230;AT5G16130;AT5G18380;AT5G44340;
G1	KAN4_2	MYB55	7	862	267	0.729775	0.729775	1	1	AT1G13440;AT2G39390;AT4G01850;AT5G18380;AT5G22650;AT5G42980;AT5G47210;
G1	KAN4_2	MYB55_2	6	824	267	0.810126	0.810126	1	1	AT1G04270;AT1G13440;AT3G45030;AT5G18380;AT5G47210;AT5G62300;
G1	KAN4_2	MYB59	10	935	267	0.416209	0.416209	1	1	AT1G04410;AT1G07940;AT2G30870;AT2G37270;AT2G39390;AT3G28900;AT4G01850;AT5G02500;AT5G47210;AT5G47700;
G1	KAN4_2	RAP2.3	17	799	267	0.00209748	0.0377547	0.560028	1	AT1G04410;AT1G14980;AT1G15930;AT1G77940;AT2G30870;AT3G28900;AT3G45030;AT3G53890;AT3G62420;AT4G23630;AT5G02960;AT5G07090;AT5G18380;AT5G47210;AT5G53300;AT5G55190;AT5G61170;
G1	KAN4_2	RAP2.3_2	16	769	267	0.00349206	0.0495032	0.932379	1	AT1G04410;AT1G15930;AT1G77940;AT2G30870;AT3G45030;AT3G53890;AT3G62420;AT4G23630;AT5G02500;AT5G02960;AT5G07090;AT5G18380;AT5G47210;AT5G53300;AT5G55190;AT5G61170;
G1	KAN4_2	RAP2.3_3ARY	14	776	267	0.0192538	0.153614	1	1	AT1G04270;AT1G04410;AT1G15930;AT1G77940;AT2G30870;AT3G53890;AT3G62420;AT4G23630;AT5G02960;AT5G07090;AT5G18380;AT5G53300;AT5G55190;AT5G61170;
G1	KAN4_2	RAP2.6	16	770	267	0.00353594	0.0495032	0.944097	1	AT1G04410;AT1G14980;AT1G15930;AT1G77940;AT3G45030;AT3G53890;AT3G62420;AT4G23630;AT5G02960;AT5G07090;AT5G18380;AT5G44340;AT5G47210;AT5G53300;AT5G55190;AT5G61170;
G1	KAN4_2	RAP2.6_2	13	795	267	0.0460631	0.230315	1	1	AT1G04410;AT1G65930;AT2G30870;AT3G53890;AT3G62420;AT4G34870;AT5G02500;AT5G02960;AT5G07090;AT5G16130;AT5G18380;AT5G44340;AT5G55190;
G1	KAN4_2	RAP2.6_3ARY	14	783	267	0.020609	0.153614	1	1	AT1G04270;AT1G04410;AT1G77940;AT2G18020;AT2G30870;AT2G39390;AT3G28900;AT3G53890;AT4G23630;AT4G34870;AT5G07090;AT5G16130;AT5G18380;AT5G53300;
G1	KAN4_2	RRTF1	17	764	267	0.00131031	0.0319491	0.349854	1	AT1G04410;AT1G14980;AT1G15930;AT1G77940;AT3G45030;AT3G53890;AT3G62420;AT4G23630;AT5G02960;AT5G07090;AT5G18380;AT5G44340;AT5G47210;AT5G53300;AT5G55190;AT5G61170;AT5G62300;
G1	KAN4_2	RRTF1_2	13	760	267	0.0341616	0.204969	1	1	AT1G04410;AT1G15930;AT2G30870;AT3G53890;AT3G62420;AT4G23630;AT5G02960;AT5G07090;AT5G18380;AT5G47210;AT5G53300;AT5G55190;AT5G61170;
G1	KAN4_2	RRTF1_3ARY	14	758	267	0.0160796	0.13271	1	1	AT1G04410;AT1G15930;AT1G77940;AT2G30870;AT3G45030;AT3G53890;AT3G62420;AT4G23630;AT5G02960;AT5G07090;AT5G18380;AT5G53300;AT5G55190;AT5G61170;
G1	KAN4_2	RVE1	4	934	267	0.980933	0.980933	1	1	AT5G02500;AT5G07090;AT5G44340;AT5G62300;
G1	KAN4_2	RVE1_2	5	935	267	0.949551	0.949551	1	1	AT1G65930;AT3G62420;AT5G15230;AT5G55190;AT5G62690;
G1	MYB111	MYB111_2	0	3	267	1	1	1	1	
G1	MYB111	MYB46	0	0	267	1	1	1	1	
G1	MYB111	MYB46_2	2	429	267	0.920874	0.920874	1	1	AT3G05560;AT4G13930;
G1	MYB111	MYB52	9	1076	267	0.715293	0.715293	1	1	AT1G18540;AT3G18740;AT3G23990;AT3G60770;AT4G02450;AT4G05320;AT5G02870;AT5G18380;AT5G60390;
G1	MYB111	MYB52_2	0	174	267	1	1	1	1	
G1	MYB111	MYB55	25	2799	267	0.68955	0.68955	1	1	AT1G02500;AT1G07920;AT1G13440;AT1G18540;AT1G74050;AT2G22470;AT2G25210;AT3G04400;AT3G05560;AT3G23990;AT3G55280;AT3G58610;AT3G60245;AT3G60770;AT4G01850;AT4G13930;AT4G14960;AT4G39090;AT5G02870;AT5G17920;AT5G18380;AT5G42980;AT5G47210;AT5G53460;AT5G60390;
G1	MYB111	MYB55_2	0	97	267	1	1	1	1	
G1	MYB111	MYB59	0	40	267	1	1	1	1	
G1	MYB111	RAP2.3	10	921	267	0.39801	0.39801	1	1	AT1G74050;AT2G30870;AT3G18740;AT3G60245;AT3G60770;AT5G08790;AT5G18380;AT5G47210;AT5G53460;AT5G64140;
